# Accepted Sequence Variants
# Format: Verse Reference<tab>Brenton Word<tab>Rahlfs Word
# These are intentional textual differences between Brenton and Rahlfs, not OCR errors.
# Lines starting with # are comments.
#
# Example:
# ΓΕΝΕΣΙΣ 3:8	τὴς	τὴν

# Wrong but accepted, because I put a more specific correction in Word_corrections
ΠΑΡΑΛΕΙΠΟΜΕΝΩΝ Β 23:13	οἱ	αἱ
ΨΑΛΜΟΙ 118:109	νόμον	νόμου

# Accepted
ΓΕΝΕΣΙΣ 3:8	τὴς	τὴν
ΓΕΝΕΣΙΣ 3:8	φωνὴς	φωνὴν
ΓΕΝΕΣΙΣ 3:10	τὴς	τὴν
ΓΕΝΕΣΙΣ 3:10	φωνῆς	φωνήν
ΓΕΝΕΣΙΣ 7:22	πᾶν	πᾶς
ΓΕΝΕΣΙΣ 24:52	τοῦ	τὸν
ΓΕΝΕΣΙΣ 24:59	τοῦ	τὸν
ΓΕΝΕΣΙΣ 30:38	τοῖς	ταῖς
ΓΕΝΕΣΙΣ 30:41	τοῖς	ταῖς
ΓΕΝΕΣΙΣ 47:26	γῆς	γῆν
ΓΕΝΕΣΙΣ 49:12	οἶνον	οἴνου
ΕΞΟΔΟΣ 10:21	γῆς	γῆν
ΕΞΟΔΟΣ 22:7	αὐτὸν	αὐτὸς
ΕΞΟΔΟΣ 28:29	λογεῖον	λογείου
ΕΞΟΔΟΣ 32:17	τῆς	τὴν
ΕΞΟΔΟΣ 32:17	φωνῆς	φωνὴν
ΕΞΟΔΟΣ 39:12	αὐτοῖς	αὐταῖς
ΕΞΟΔΟΣ 40:19	αὐτὴν	αὐτῆς
ΑΡΙΘΜΟΙ 2:17	ἡγεμονίας	ἡγεμονίαν
ΑΡΙΘΜΟΙ 7:88	ἐνιαύσιοι	ἐνιαύσιαι
ΑΡΙΘΜΟΙ 13:32	γῆς	γῆν
ΑΡΙΘΜΟΙ 16:13	γῆν	γῆς
ΔΕΥΤΕΡΟΝΟΜΙΟΝ 11:28	κατάραν	κατάρας
ΔΕΥΤΕΡΟΝΟΜΙΟΝ 15:19	ταῖς	τοῖς
ΔΕΥΤΕΡΟΝΟΜΙΟΝ 32:24	γῆν	γῆς
ΙΗΣΟΥΣ ΝΑΥΗ 11:1	Ἰαβὶς	ιαβιν
ΚΡΙΤΑΙ 6:5	ταῖς	τοῖς
ΚΡΙΤΑΙ 7:4	πᾶς	πᾶν
ΒΑΣΙΛΕΙΩΝ Α 10:11	τρίτης	τρίτην
ΒΑΣΙΛΕΙΩΝ Α 12:9	Ἰαβὶς	ιαβιν
ΒΑΣΙΛΕΙΩΝ Β 23:27	Ἀνωθίτου	ασωθίτου
ΒΑΣΙΛΕΙΩΝ Γ 2:46h	Ἀζαρίου	αζαριον
ΒΑΣΙΛΕΙΩΝ Γ 12:27	θυσίαν	θυσίας
ΒΑΣΙΛΕΙΩΝ Δ 11:10	ἑκατοντάρχοις	ἑκατοντάρχαις
ΒΑΣΙΛΕΙΩΝ Δ 11:15	ἑκατοντάρχοις	ἑκατοντάρχαις
ΒΑΣΙΛΕΙΩΝ Δ 21:18	Ἀμὼς	αμων
ΒΑΣΙΛΕΙΩΝ Δ 21:19	Ἀμὼς	αμων
ΒΑΣΙΛΕΙΩΝ Δ 21:23	Ἀμὼς	αμων
ΒΑΣΙΛΕΙΩΝ Δ 21:24	Ἀμώς	αμων
ΒΑΣΙΛΕΙΩΝ Δ 21:25	Ἀμὼς	αμων
ΠΑΡΑΛΕΙΠΟΜΕΝΩΝ Α 22:8	γῆν	γῆς
ΠΑΡΑΛΕΙΠΟΜΕΝΩΝ Β 23:20	θρόνου	θρόνον
ΠΑΡΑΛΕΙΠΟΜΕΝΩΝ Β 30:22	θυσίαν	θυσίας
ΠΑΡΑΛΕΙΠΟΜΕΝΩΝ Β 33:3	τοῖς	ταῖς
